Country_x,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,ISO3,Competetiveness Rank / 141,Country / Economy,Value(0–100),Country or Territory,Freedom Status,PR,CL,Freedom Rating,Aggregate Score,GDP Rank,Country_y,2017,2018,t2w,Absolute change,Rank change,Continent,Economy,Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Minority Investors,Paying Taxes,Trading across Borders,Enforcing Contracts,Resolving Insolvency,Country_x,LawRank,GovernmentPowers,Absenceof Corruption,OpenGovernment,FundamentalRights,Orderand Security,RegulatoryEnforcement,CivilJustice,CriminalJustice,OverallScore,ScienceRank,Country_y,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName,HDI Rank (2017),Country,Freedom Rank
Slovenia,6.11770009994507,6.2093653678894,6.02603483200073,1.61801624298096,1.25789213180542,1.52315175533295,0.953217923641205,0.563892960548401,0.144280105829239,0.0572257228195667,SVN,35,Slovenia,70.2,Slovenia,,1,1,1.0,94,41,Slovenia,"34,480.0","36,825.7",2.03,"2,345.7",+1,Europe,Slovenia,40,38,120,23,56,112,30,41,1,110,9,Slovenia,26/126,0.65,0.66,0.65,0.73,0.89,0.64,0.63,0.55,0.67,59,Slovenia,6262,5729,5616,922,0.9,278,Slovenia,Ljubljana,46.05,14.516667000000002,SI,Europe,25,Slovenia,98.0
Nicaragua,6.10500001907349,6.21845817565918,5.99154186248779,2.4903507232666,0.693882524967194,1.32452893257141,0.834705114364624,0.434626191854477,0.199506402015686,0.127381056547165,NIC,109,Nicaragua,51.5,Nicaragua,,6,5,5.5,32,141,Nicaragua,"5,851.6","5,683.1",0.314,-168.6,-3,North America,Nicaragua,132,144,177,110,155,99,168,160,85,87,106,Nicaragua,114/126,0.27,0.35,0.38,0.39,0.7,0.45,0.41,0.28,0.4,153,Nicaragua,145,125,116,12,0.8,78,Nicaragua,Managua,12.133333333333333,-86.25,NI,Central America,124,Nicaragua,20.0
Argentina,6.08629989624023,6.19153881072998,5.98106098175049,2.09629273414612,1.09151566028595,1.43150758743286,0.880779325962067,0.470637440681458,0.0659198015928268,0.0496974252164364,ARG,83,Argentina,57.2,Argentina,,2,2,2.0,84,68,Argentina,"20,918.1","20,609.8",1.14,-308.3,-1,South America,Argentina,119,128,174,103,119,85,57,169,125,107,104,Argentina,46/126,0.62,0.52,0.63,0.7,0.62,0.52,0.58,0.45,0.58,44,Argentina,14737,13185,9230,1926,0.63,393,Argentina,Buenos Aires,-34.583333333333336,-58.666667000000004,AR,South America,47,Argentina,82.0
Romania,6.06969976425171,6.16333627700806,5.97606325149536,2.30203080177307,1.16184890270233,1.23150312900543,0.824790239334106,0.462159186601639,0.082633949816227,0.00477897003293037,ROU,51,Romania,64.4,Romania,,2,2,2.0,81,62,Romania,"24,605.3","26,176.2",1.44,"1,570.9",0,Europe,Romania,52,111,146,154,44,22,64,49,1,17,52,Romania,31/126,0.62,0.57,0.62,0.7,0.84,0.57,0.64,0.57,0.64,43,Romania,15227,13982,9115,2649,0.6,271,Romania,Bucharest,44.43333333333333,26.1,RO,Europe,52,Romania,76.0
Ecuador,6.02759981155396,6.13007545471191,5.925124168396,2.22511434555054,0.911792278289795,1.31210565567017,0.867575824260712,0.497505962848663,0.126236155629158,0.0872628539800644,ECU,90,Ecuador,55.7,Ecuador,,3,3,3.0,63,105,Ecuador,"11,506.8","11,732.1",0.647,225.3,0,South America,Ecuador,123,168,113,94,75,112,125,143,109,79,158,Ecuador,87/126,0.46,0.41,0.51,0.49,0.62,0.49,0.48,0.35,0.48,63,Ecuador,4376,4131,2319,646,0.53,149,Ecuador,Quito,-0.21666666666666667,-78.5,EC,South America,86,Ecuador,56.0
Thailand,6.00799989700317,6.10270357131958,5.91329622268677,1.77723121643066,1.04970121383667,1.40882456302643,0.828100621700287,0.557166278362274,0.358971565961838,0.0279934331774712,THA,40,Thailand,68.1,Thailand,,7,5,6.0,30,74,Thailand,"17,893.6","19,126.4",1.06,"1,232.8",+2,Asia,Thailand,27,39,67,6,66,44,15,59,59,35,24,Thailand,76/126,0.47,0.49,0.48,0.48,0.71,0.48,0.49,0.42,0.5,40,Thailand,17943,16485,8581,2042,0.48,311,Thailand,Bangkok,13.75,100.516667,TH,Asia,83,Thailand,16.0
South Korea,5.894700050354,5.98449611663818,5.80490398406982,1.94886994361877,1.30099880695343,1.21918988227844,1.03557527065277,0.159300208091736,0.174697116017342,0.0560331419110298,KOR,13,South Korea,79.6,South Korea,,2,2,2.0,83,32,South Korea,"39,548.1","41,415.7",2.29,"1,867.7",0,Asia,South Korea,5,11,10,2,40,60,23,24,33,2,11,Republic of Korea,18/126,0.72,0.67,0.69,0.74,0.84,0.73,0.77,0.71,0.73,13,South Korea,85725,79646,53132,15030,0.62,624,South Korea,Seoul,37.55,126.983333,KR,Asia,22,Korea (Republic of),79.0
Estonia,5.89349985122681,5.96544742584229,5.82155227661133,1.49564790725708,1.23682761192322,1.52783370018005,0.874203205108643,0.495156615972519,0.103052616119385,0.160817503929138,EST,31,Estonia,70.9,Estonia,,1,1,1.0,94,45,Estonia,"31,648.8","33,553.5",1.85,"1,904.7",+1,Europe,Estonia,16,15,14,46,6,44,83,14,17,13,47,Estonia,10/126,0.84,0.8,0.8,0.83,0.89,0.79,0.8,0.71,0.81,71,Estonia,3369,2975,3980,663,1.18,255,Estonia,Tallinn,59.43333333333333,24.716667,EE,Europe,30,Estonia,98.0
Jamaica,5.88980007171631,6.12615728378296,5.65344285964966,2.12468504905701,0.83125501871109,1.47765207290649,0.83138769865036,0.489614456892014,0.106921143829823,0.0282436944544315,JAM,80,Jamaica,58.3,Jamaica,,2,2,2.0,78,116,Jamaica,"9,161.4","9,434.5",0.521,273.0,0,North America,Jamaica,75,6,76,115,131,12,89,123,134,127,33,Jamaica,50/126,0.62,0.54,0.56,0.63,0.62,0.54,0.51,0.5,0.56,128,Jamaica,377,301,211,25,0.56,96,Jamaica,Kingston,18.0,-76.8,JM,North America,97,Jamaica,72.0
Mauritius,5.88819980621338,5.99120616912842,5.78519344329834,1.79536056518555,1.11982369422913,1.40166127681732,0.798438787460327,0.498120784759522,0.215302407741547,0.0595291666686535,MUS,52,Mauritius,64.3,Mauritius,,1,2,1.5,89,64,Mauritius,"22,278.6","23,597.4",1.30,"1,318.7",+1,Africa,Mauritius,20,21,15,34,35,60,15,6,69,27,35,Mauritius,37/126,0.6,0.58,0.54,0.64,0.77,0.63,0.63,0.53,0.61,131,Mauritius,342,283,265,68,0.77,74,Mauritius,Port Louis,-20.15,57.483332999999995,MU,Africa,65,Mauritius,88.0
Japan,5.88609981536865,5.97013664245606,5.80206298828125,1.39872694015503,1.32650506496429,1.41859722137451,1.08821773529053,0.444959551095963,0.0688526183366776,0.140215784311295,JPN,6,Japan,82.3,Japan,,1,1,1.0,96,31,Japan,"42,942.2","44,549.7",2.46,"1,607.5",-1,Asia,Japan,39,93,44,22,48,85,64,97,56,52,1,Japan,15/126,0.71,0.82,0.69,0.78,0.92,0.78,0.79,0.74,0.78,6,Japan,131198,118409,75593,25783,0.58,967,Japan,Tokyo,35.68333333333333,139.75,JP,Asia,19,Japan,101.0
